Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2003-6-19,1061.36,1070.05,1040.53,1051.88,0.69,7.99,-1.13,1.01,63.66,4.22,12.45,6.68,828.92,4.17,0.57,5.76
801813,小盘指数,2003-6-18,1065.72,1078.09,1052.03,1063.72,0.77,8.78,-0.19,1.12,64.51,4.27,12.62,8.34,840.01,4.22,0.53,5.76
801813,小盘指数,2003-6-17,1062.11,1076.16,1051.46,1065.72,0.75,9.19,0.33,1.1,64.65,4.28,12.66,9.52,841.79,4.23,0.53,5.76
801813,小盘指数,2003-6-16,1067.52,1078.77,1051.58,1062.18,0.69,8.13,-0.65,1.02,64.13,4.25,12.59,7.82,835.02,4.2,0.52,5.76
801813,小盘指数,2003-6-13,1063.95,1081.13,1052.68,1069.06,0.87,10.82,0.6,1.28,64.61,4.28,12.75,8.99,841.3,4.23,0.53,5.76
801813,小盘指数,2003-6-12,1058.63,1073.89,1047.47,1062.62,0.73,9.27,0.41,1.08,64.47,4.27,12.76,8.57,839.46,4.22,0.52,5.76
801813,小盘指数,2003-6-11,1044.42,1065.3,1037.24,1058.26,0.71,8.65,1.52,1.04,64.22,4.25,12.69,6.06,836.27,4.2,0.5,5.76
801813,小盘指数,2003-6-10,1034.93,1051.1,1027.36,1042.21,0.59,7.24,0.69,0.88,62.88,4.16,12.49,8.1,819.3,4.12,0.51,5.76
801813,小盘指数,2003-6-9,1042.87,1054.25,1025.78,1035.04,0.65,7.88,-0.68,0.95,62.79,4.16,12.47,6.75,818.14,4.11,0.48,5.76
801813,小盘指数,2003-6-6,1046.98,1060.26,1032.37,1042.09,0.74,9.1,-0.8,1.1,63.23,4.19,12.62,6.63,823.89,4.14,0.48,5.76
801813,小盘指数,2003-6-5,1058.8,1070.36,1041.48,1050.46,0.71,8.86,-0.86,1.05,63.78,4.22,12.73,6.09,830.58,4.17,0.47,5.76
